neighborhood,category,Incident number
Marina,VANDALISM,257
Marina,ASSAULT,237
Marina,BURGLARY,222
Marina,VEHICLE THEFT,143
Marina,SUSPICIOUS OCC,110
Marina,FRAUD,80
Marina,ROBBERY,58
Marina,DRUG/NARCOTIC,39
Marina,WEAPON LAWS,15
Mission,LARCENY/THEFT,2738
Mission,ASSAULT,1814
Mission,VANDALISM,912
Mission,SUSPICIOUS OCC,757
Mission,VEHICLE THEFT,718
Mission,DRUG/NARCOTIC,551
Mission,BURGLARY,537
Mission,ROBBERY,490
Mission,WEAPON LAWS,253
Mission,FRAUD,239
Nob Hill,LARCENY/THEFT,1598
Nob Hill,ASSAULT,510
Nob Hill,VANDALISM,340
Nob Hill,BURGLARY,219
Nob Hill,VEHICLE THEFT,210
Nob Hill,SUSPICIOUS OCC,192
Nob Hill,ROBBERY,133
Nob Hill,DRUG/NARCOTIC,128
Nob Hill,FRAUD,97
Nob Hill,WEAPON LAWS,36
Noe Valley,LARCENY/THEFT,237
Noe Valley,VEHICLE THEFT,105
Noe Valley,BURGLARY,103
Noe Valley,VANDALISM,60
Noe Valley,ASSAULT,56
Noe Valley,SUSPICIOUS OCC,39
Noe Valley,FRAUD,21
Noe Valley,ROBBERY,11
Noe Valley,DRUG/NARCOTIC,10
Noe Valley,WEAPON LAWS,10
North Beach,LARCENY/THEFT,2073
North Beach,ASSAULT,354
North Beach,VANDALISM,335
North Beach,SUSPICIOUS OCC,158
North Beach,BURGLARY,139
North Beach,FRAUD,117
North Beach,VEHICLE THEFT,105
North Beach,ROBBERY,86
North Beach,DRUG/NARCOTIC,45
North Beach,WEAPON LAWS,41
Ocean View,ASSAULT,110
Ocean View,LARCENY/THEFT,88
Ocean View,VEHICLE THEFT,41
Ocean View,VANDALISM,39
Ocean View,BURGLARY,37
Ocean View,SUSPICIOUS OCC,29
Ocean View,WEAPON LAWS,17
Ocean View,ROBBERY,14
Ocean View,DRUG/NARCOTIC,7
Ocean View,FRAUD,5
Outer Mission,ASSAULT,76
Outer Mission,LARCENY/THEFT,58
Outer Mission,VEHICLE THEFT,47
Outer Mission,VANDALISM,29
Outer Mission,SUSPICIOUS OCC,22
Outer Mission,BURGLARY,14
Outer Mission,DRUG/NARCOTIC,10
Outer Mission,ROBBERY,8
Outer Mission,FRAUD,7
Outer Mission,WEAPON LAWS,3
